plant,bee,#sum.ints
Dentaria_laciniata,Andrena_arabis,2
Claytonia_virginica,Andrena_carlini,64
Dentaria_laciniata,Andrena_carlini,17
Dicentra_cucullaria,Andrena_carlini,3
Erigenia_bulbosa,Andrena_carlini,118
Erythronium_albidum,Andrena_carlini,14
Phlox_divaricata,Andrena_carlini,1
Sanicula_odorata,Andrena_carlini,1
Uvularia_grandiflora,Andrena_carlini,1
Viola_pubescens,Andrena_carlini,1
Claytonia_virginica,Andrena_cressonii,16
Dentaria_laciniata,Andrena_cressonii,2
Hydrophyllum_appendiculatum,Andrena_cressonii,1
Ranunculus_hispidus_var_nitidus,Andrena_cressonii,10
Sanicula_odorata,Andrena_cressonii,21
Tradescantia_virginiana,Andrena_cressonii,2
Geranium_maculatum,Andrena_distans,10
Anemonella_thalictroides,Andrena_erigeniae,3
Claytonia_virginica,Andrena_erigeniae,452
Erigenia_bulbosa,Andrena_erigeniae,4
Erythronium_albidum,Andrena_erigeniae,1
Geranium_maculatum,Andrena_erigeniae,2
Ranunculus_hispidus_var_nitidus,Andrena_erigeniae,1
Viola_sororia,Andrena_erigeniae,1
Claytonia_virginica,Andrena_erythronii,11
Dentaria_laciniata,Andrena_erythronii,1
Dicentra_cucullaria,Andrena_erythronii,1
Erigenia_bulbosa,Andrena_erythronii,11
Erythronium_albidum,Andrena_erythronii,10
Claytonia_virginica,Andrena_forbesii,9
Dentaria_laciniata,Andrena_forbesii,1
Sanicula_odorata,Andrena_forbesii,1
Geranium_maculatum,Andrena_geranii,26
Hydrophyllum_appendiculatum,Andrena_geranii,27
Hydrophyllum_virginianum,Andrena_geranii,12
Ranunculus_hispidus_var_nitidus,Andrena_geranii,1
Sanicula_odorata,Andrena_geranii,2
Claytonia_virginica,Andrena_illini_sayi,4
Mertensia_virginica,Andrena_illini_sayi,1
Anemonella_thalictroides,Andrena_imitatrix,1
Claytonia_virginica,Andrena_imitatrix,6
Uvularia_grandiflora,Andrena_mandibularis,2
Claytonia_virginica,Andrena_miserabilis,5
Claytonia_virginica,Andrena_nasonii,48
Geranium_maculatum,Andrena_nasonii,1
Hydrophyllum_appendiculatum,Andrena_nasonii,1
Isopyrum_biternatum,Andrena_nasonii,3
Polemonium_reptans,Andrena_nasonii,2
Ranunculus_hispidus_var_nitidus,Andrena_nasonii,6
Sanicula_odorata,Andrena_nasonii,5
Anemonella_thalictroides,Andrena_personata,4
Camassia_scilloides,Andrena_personata,2
Claytonia_virginica,Andrena_personata,41
Geranium_maculatum,Andrena_personata,2
Ranunculus_hispidus_var_nitidus,Andrena_personata,19
Sanicula_odorata,Andrena_personata,125
Tradescantia_virginiana,Andrena_personata,12
Polemonium_reptans,Andrena_polemonii,6
Claytonia_virginica,Andrena_pruni,4
Sanicula_odorata,Andrena_pruni,1
Viola_sororia,Andrena_pruni,1
Claytonia_virginica,Andrena_rugosa,5
Viola_sororia,Andrena_violae,9
Delphinium_tricorne,Anthophora_ursina,1
Camassia_scilloides,Apis_mellifera,1
Claytonia_virginica,Apis_mellifera,36
Dentaria_laciniata,Apis_mellifera,44
Dicentra_cucullaria,Apis_mellifera,39
Erigenia_bulbosa,Apis_mellifera,53
Erythronium_albidum,Apis_mellifera,18
Geranium_maculatum,Apis_mellifera,3
Hydrophyllum_appendiculatum,Apis_mellifera,261
Mertensia_virginica,Apis_mellifera,60
Ranunculus_hispidus_var_nitidus,Apis_mellifera,1
Sanicula_odorata,Apis_mellifera,2
Tradescantia_virginiana,Apis_mellifera,3
Claytonia_virginica,Augochlora_pura,11
Geranium_maculatum,Augochlora_pura,16
Hydrophyllum_appendiculatum,Augochlora_pura,9
Hydrophyllum_virginianum,Augochlora_pura,5
Monarda_bradburiana,Augochlora_pura,5
Ranunculus_hispidus_var_nitidus,Augochlora_pura,2
Sanicula_odorata,Augochlora_pura,21
Tradescantia_virginiana,Augochlora_pura,3
Camassia_scilloides,Augochlorella_aurata,12
Claytonia_virginica,Augochlorella_aurata,49
Delphinium_tricorne,Augochlorella_aurata,6
Dentaria_laciniata,Augochlorella_aurata,1
Geranium_maculatum,Augochlorella_aurata,29
Hydrophyllum_virginianum,Augochlorella_aurata,3
Isopyrum_biternatum,Augochlorella_aurata,3
Maianthemum_racemosum,Augochlorella_aurata,1
Mertensia_virginica,Augochlorella_aurata,1
Monarda_bradburiana,Augochlorella_aurata,10
Polemonium_reptans,Augochlorella_aurata,2
Ranunculus_hispidus_var_nitidus,Augochlorella_aurata,9
Sanicula_odorata,Augochlorella_aurata,16
Tradescantia_virginiana,Augochlorella_aurata,6
Camassia_scilloides,Augochloropsis_fulgida_metallica,1
Claytonia_virginica,Augochloropsis_fulgida_metallica,6
Hydrophyllum_appendiculatum,Augochloropsis_fulgida_metallica,1
Hydrophyllum_virginianum,Augochloropsis_fulgida_metallica,1
Monarda_bradburiana,Augochloropsis_fulgida_metallica,1
Polemonium_reptans,Augochloropsis_fulgida_metallica,1
Sanicula_odorata,Augochloropsis_fulgida_metallica,22
Tradescantia_virginiana,Augochloropsis_fulgida_metallica,3
Delphinium_tricorne,Bombus_bimaculatus,21
Dicentra_cucullaria,Bombus_bimaculatus,9
Geranium_maculatum,Bombus_bimaculatus,2
Hydrophyllum_appendiculatum,Bombus_bimaculatus,17
Hydrophyllum_virginianum,Bombus_bimaculatus,14
Mertensia_virginica,Bombus_bimaculatus,8
Monarda_bradburiana,Bombus_bimaculatus,10
Sanicula_odorata,Bombus_bimaculatus,1
Tradescantia_virginiana,Bombus_bimaculatus,4
Hydrophyllum_appendiculatum,Bombus_griseocollis,12
Delphinium_tricorne,Bombus_impatiens,1
Hydrophyllum_appendiculatum,Bombus_impatiens,1
Mertensia_virginica,Bombus_impatiens,4
Tradescantia_virginiana,Bombus_impatiens,2
Delphinium_tricorne,Bombus_pensylvanicus,1
Delphinium_tricorne,Bombus_vagans,1
Monarda_bradburiana,Bombus_vagans,1
Tradescantia_virginiana,Bombus_vagans,1
Viola_sororia,Bombus_vagans,1
Claytonia_virginica,Ceratina_calcarata_dupla_strenua,16
Dentaria_laciniata,Ceratina_calcarata_dupla_strenua,17
Geranium_maculatum,Ceratina_calcarata_dupla_strenua,20
Hydrophyllum_appendiculatum,Ceratina_calcarata_dupla_strenua,6
Hydrophyllum_virginianum,Ceratina_calcarata_dupla_strenua,5
Monarda_bradburiana,Ceratina_calcarata_dupla_strenua,11
Oxalis_violacea,Ceratina_calcarata_dupla_strenua,11
Phlox_divaricata,Ceratina_calcarata_dupla_strenua,1
Sanicula_odorata,Ceratina_calcarata_dupla_strenua,7
Tradescantia_virginiana,Ceratina_calcarata_dupla_strenua,9
Viola_pubescens,Ceratina_calcarata_dupla_strenua,1
Viola_sororia,Ceratina_calcarata_dupla_strenua,1
Hydrophyllum_appendiculatum,Chelostoma_philadelphi,1
Sanicula_odorata,Chelostoma_philadelphi,1
Claytonia_virginica,Colletes_inaequalis,67
Dentaria_laciniata,Colletes_inaequalis,6
Erigenia_bulbosa,Colletes_inaequalis,20
Mertensia_virginica,Colletes_inaequalis,1
Delphinium_tricorne,Eucera_dubitata,2
Hydrophyllum_appendiculatum,Eucera_dubitata,15
Hydrophyllum_virginianum,Eucera_dubitata,1
Polemonium_reptans,Eucera_dubitata,1
Sanicula_odorata,Eucera_dubitata,1
Tradescantia_virginiana,Eucera_dubitata,5
Claytonia_virginica,Halictus_ligatus,1
Ranunculus_hispidus_var_nitidus,Halictus_ligatus,1
Tradescantia_virginiana,Halictus_ligatus,1
Claytonia_virginica,Halictus_rubicundus,1
Sanicula_odorata,Hylaeus_modestus,1
Claytonia_virginica,Lasioglossum_cinctipes,1
Claytonia_virginica,Lasioglossum_coeruleum,8
Dentaria_laciniata,Lasioglossum_coeruleum,1
Geranium_maculatum,Lasioglossum_coeruleum,1
Isopyrum_biternatum,Lasioglossum_coeruleum,1
Mertensia_virginica,Lasioglossum_coeruleum,2
Monarda_bradburiana,Lasioglossum_coeruleum,1
Phlox_divaricata,Lasioglossum_coeruleum,1
Polemonium_reptans,Lasioglossum_coeruleum,1
Sanicula_odorata,Lasioglossum_coeruleum,1
Delphinium_tricorne,Lasioglossum_coriaceum,1
Geranium_maculatum,Lasioglossum_coriaceum,2
Hydrophyllum_appendiculatum,Lasioglossum_coriaceum,2
Hydrophyllum_virginianum,Lasioglossum_coriaceum,4
Monarda_bradburiana,Lasioglossum_coriaceum,2
Ranunculus_hispidus_var_nitidus,Lasioglossum_coriaceum,1
Sanicula_odorata,Lasioglossum_coriaceum,2
Tradescantia_virginiana,Lasioglossum_coriaceum,4
Viola_pubescens,Lasioglossum_coriaceum,1
Camassia_scilloides,Lasioglossum_cressonii,1
Claytonia_virginica,Lasioglossum_cressonii,6
Dentaria_laciniata,Lasioglossum_cressonii,1
Geranium_maculatum,Lasioglossum_cressonii,3
Hydrophyllum_appendiculatum,Lasioglossum_cressonii,2
Hydrophyllum_virginianum,Lasioglossum_cressonii,3
Isopyrum_biternatum,Lasioglossum_cressonii,4
Maianthemum_racemosum,Lasioglossum_cressonii,1
Mertensia_virginica,Lasioglossum_cressonii,4
Monarda_bradburiana,Lasioglossum_cressonii,2
Phlox_divaricata,Lasioglossum_cressonii,1
Polemonium_reptans,Lasioglossum_cressonii,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_cressonii,10
Sanicula_odorata,Lasioglossum_cressonii,58
Tradescantia_virginiana,Lasioglossum_cressonii,3
Claytonia_virginica,Lasioglossum_foxii,2
Geranium_maculatum,Lasioglossum_foxii,1
Hydrophyllum_appendiculatum,Lasioglossum_foxii,1
Isopyrum_biternatum,Lasioglossum_foxii,1
Mertensia_virginica,Lasioglossum_foxii,1
Anemonella_thalictroides,Lasioglossum_imitatum,1
Claytonia_virginica,Lasioglossum_imitatum,13
Dentaria_laciniata,Lasioglossum_imitatum,3
Hydrophyllum_appendiculatum,Lasioglossum_imitatum,2
Isopyrum_biternatum,Lasioglossum_imitatum,2
Sanicula_odorata,Lasioglossum_imitatum,1
Anemonella_thalictroides,Lasioglossum_macoupinense,1
Camassia_scilloides,Lasioglossum_macoupinense,2
Claytonia_virginica,Lasioglossum_macoupinense,2
Delphinium_tricorne,Lasioglossum_macoupinense,1
Geranium_maculatum,Lasioglossum_macoupinense,3
Hydrophyllum_appendiculatum,Lasioglossum_macoupinense,4
Hydrophyllum_virginianum,Lasioglossum_macoupinense,3
Monarda_bradburiana,Lasioglossum_macoupinense,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_macoupinense,1
Sanicula_odorata,Lasioglossum_macoupinense,109
Tradescantia_virginiana,Lasioglossum_macoupinense,1
Claytonia_virginica,Lasioglossum_obscurum,9
Dentaria_laciniata,Lasioglossum_obscurum,1
Geranium_maculatum,Lasioglossum_obscurum,2
Hydrophyllum_virginianum,Lasioglossum_obscurum,4
Isopyrum_biternatum,Lasioglossum_obscurum,3
Mertensia_virginica,Lasioglossum_obscurum,1
Monarda_bradburiana,Lasioglossum_obscurum,1
Polemonium_reptans,Lasioglossum_obscurum,1
Ranunculus_hispidus_var_nitidus,Lasioglossum_obscurum,2
Sanicula_odorata,Lasioglossum_obscurum,56
Tradescantia_virginiana,Lasioglossum_obscurum,2
Claytonia_virginica,Lasioglossum_tegulare,1
Anemonella_thalictroides,Lasioglossum_versatum,1
Claytonia_virginica,Lasioglossum_versatum,16
Viola_sororia,Lasioglossum_versatum,1
Isopyrum_biternatum,Lasioglossum_zephyrum,1
Claytonia_virginica,Nomada_cressonii,2
Dentaria_laciniata,Nomada_cressonii,1
Geranium_maculatum,Nomada_cressonii,1
Mertensia_virginica,Nomada_cressonii,1
Ranunculus_hispidus_var_nitidus,Nomada_denticulata,1
Hydrophyllum_appendiculatum,Nomada_hydrophylli,3
Claytonia_virginica,Nomada_luteoloides,2
Dentaria_laciniata,Nomada_luteoloides,1
Geranium_maculatum,Nomada_luteoloides,1
Camassia_scilloides,Nomada_parva,14
Claytonia_virginica,Nomada_parva,7
Ranunculus_hispidus_var_nitidus,Nomada_parva,5
Sanicula_odorata,Nomada_parva,21
Claytonia_virginica,Nomada_sayi,2
Sanicula_odorata,Nomada_sayi,3
Dentaria_laciniata,Osmia_bucephala,2
Geranium_maculatum,Osmia_bucephala,1
Mertensia_virginica,Osmia_bucephala,6
Monarda_bradburiana,Osmia_bucephala,1
Geranium_maculatum,Osmia_pumila,3
Hydrophyllum_virginianum,Osmia_pumila,1
Sanicula_odorata,Osmia_pumila,1
Tradescantia_virginiana,Osmia_pumila,2
Viola_pubescens,Osmia_pumila,3
