plant,bee,edge
Claytonia_virginica,Bombus_pensylvanicus,1
Geranium_maculatum,Bombus_pensylvanicus,1
Isopyrum_biternatum,Bombus_pensylvanicus,1
Dentaria_laciniata,Bombus_pensylvanicus,1
Polemonium_reptans,Bombus_pensylvanicus,1
Oxalis_violacea,Bombus_pensylvanicus,1
Hydrophyllum_appendiculatum,Bombus_pensylvanicus,1
Monarda_bradburiana,Bombus_pensylvanicus,1
Camassia_scilloides,Bombus_pensylvanicus,1
Tradescantia_virginiana,Bombus_pensylvanicus,1
Viola_sororia,Bombus_pensylvanicus,1
Hydrophyllum_virginianum,Bombus_pensylvanicus,1
Mertensia_virginica,Bombus_pensylvanicus,1
Viola_pubescens,Bombus_pensylvanicus,1
Dicentra_cucullaria,Bombus_pensylvanicus,1
Uvularia_grandiflora,Bombus_pensylvanicus,1
Delphinium_tricorne,Bombus_pensylvanicus,1
Phlox_divaricata,Bombus_pensylvanicus,1
Podophyllum_peltatum,Bombus_pensylvanicus,1
Geranium_maculatum,Bombus_griseocollis,1
Dentaria_laciniata,Bombus_griseocollis,1
Polemonium_reptans,Bombus_griseocollis,1
Hydrophyllum_appendiculatum,Bombus_griseocollis,1
Monarda_bradburiana,Bombus_griseocollis,1
Camassia_scilloides,Bombus_griseocollis,1
Tradescantia_virginiana,Bombus_griseocollis,1
Viola_sororia,Bombus_griseocollis,1
Hydrophyllum_virginianum,Bombus_griseocollis,1
Mertensia_virginica,Bombus_griseocollis,1
Viola_pubescens,Bombus_griseocollis,1
Dicentra_cucullaria,Bombus_griseocollis,1
Uvularia_grandiflora,Bombus_griseocollis,1
Delphinium_tricorne,Bombus_griseocollis,1
Phlox_divaricata,Bombus_griseocollis,1
Podophyllum_peltatum,Bombus_griseocollis,1
Claytonia_virginica,Bombus_impatiens,1
Geranium_maculatum,Bombus_impatiens,1
Dentaria_laciniata,Bombus_impatiens,1
Polemonium_reptans,Bombus_impatiens,1
Hydrophyllum_appendiculatum,Bombus_impatiens,1
Monarda_bradburiana,Bombus_impatiens,1
Camassia_scilloides,Bombus_impatiens,1
Erythronium_albidum,Bombus_impatiens,1
Tradescantia_virginiana,Bombus_impatiens,1
Viola_sororia,Bombus_impatiens,1
Hydrophyllum_virginianum,Bombus_impatiens,1
Dicentra_cucullaria,Bombus_impatiens,1
Uvularia_grandiflora,Bombus_impatiens,1
Delphinium_tricorne,Bombus_impatiens,1
Phlox_divaricata,Bombus_impatiens,1
Podophyllum_peltatum,Bombus_impatiens,1
Claytonia_virginica,Apis_mellifera,1
Geranium_maculatum,Apis_mellifera,1
Erigenia_bulbosa,Apis_mellifera,1
Isopyrum_biternatum,Apis_mellifera,1
Dentaria_laciniata,Apis_mellifera,1
Polemonium_reptans,Apis_mellifera,1
Oxalis_violacea,Apis_mellifera,1
Ranunculus_hispidus_var_nitidus,Apis_mellifera,1
Monarda_bradburiana,Apis_mellifera,1
Camassia_scilloides,Apis_mellifera,1
Maianthemum_stellatum,Apis_mellifera,1
Tradescantia_virginiana,Apis_mellifera,1
Viola_sororia,Apis_mellifera,1
Anemonella_thalictroides,Apis_mellifera,1
Mertensia_virginica,Apis_mellifera,1
Dicentra_cucullaria,Apis_mellifera,1
Maianthemum_racemosum,Apis_mellifera,1
Podophyllum_peltatum,Apis_mellifera,1
Claytonia_virginica,Eucera_hamata,1
Geranium_maculatum,Eucera_hamata,1
Polemonium_reptans,Eucera_hamata,1
Oxalis_violacea,Eucera_hamata,1
Hydrophyllum_appendiculatum,Eucera_hamata,1
Monarda_bradburiana,Eucera_hamata,1
Camassia_scilloides,Eucera_hamata,1
Tradescantia_virginiana,Eucera_hamata,1
Viola_sororia,Eucera_hamata,1
Hydrophyllum_virginianum,Eucera_hamata,1
Mertensia_virginica,Eucera_hamata,1
Delphinium_tricorne,Eucera_hamata,1
Phlox_divaricata,Eucera_hamata,1
Podophyllum_peltatum,Eucera_hamata,1
Claytonia_virginica,Ceratina_calcarata_dupla_strenua,1
Geranium_maculatum,Ceratina_calcarata_dupla_strenua,1
Erigenia_bulbosa,Ceratina_calcarata_dupla_strenua,1
Isopyrum_biternatum,Ceratina_calcarata_dupla_strenua,1
