,flock_6,flock_7,flock_8,flock_10,flock_11,flock_12,flock_13,flock_14,flock_15,flock_16,flock_17,flock_20,flock_24,flock_25,flock_26
23820,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23726,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23831,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23763,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23772,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
23770,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23771,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23777,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
23774,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
23860,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
23779,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23773,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0
23862,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0
23857,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23871,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
23853,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23732,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23734,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23756,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23768,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23758,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
23781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
