plant,startRob,endRob,startnow,endnow
Anemonella_thalictroides,92,142,84,135
Camassia_scilloides,112,148,106,122
Claytonia_virginica,75,144,75,132
Delphinium_tricorne,113,158,100,139
Dentaria_laciniata,92,122,88,115
Dicentra_cucullaria,111,125,77,109
Erigenia_bulbosa,74,111,69,101
Erythronium_albidum,76,122,77,115
Geranium_maculatum,103,155,100,149
Hydrophyllum_appendiculatum,122,170,118,155
Hydrophyllum_virginianum,126,152,116,149
Isopyrum_biternatum,79,122,86,128
Maianthemum_racemosum,127,150,118,152
Maianthemum_stellatum,115,132,106,120
Mertensia_virginica,90,145,79,129
Monarda_bradburiana,127,167,118,151
Oxalis_violacea,96,161,105,136
Phlox_divaricata,93,153,97,143
Podophyllum_peltatum,104,141,105,125
Polemonium_reptans,102,144,101,121
Ranunculus_hispidus_var_nitidus,98,144,98,129
Sanicula_odorata,126,156,116,154
Tradescantia_virginiana,119,166,109,143
Uvularia_grandiflora,102,131,102,114
Viola_pubescens,99,127,94,120
Viola_sororia,76,141,88,126
