,Cuba,Hispaniola,Jamaica,Puerto Rico,Guadeloupe,Martinique,Dominica,St.Lucia,Barbados,St.Vincent,Grenada,Antigua,St.Croix,GrandCayman,St.Kitts,Barbuda,MonSt.errat,St.Martin,St.Thomas
Carduelis dominicensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxia leucoptera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volatinia jacarina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sprophila nigricollis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Melopyrrha nigra,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Loxigilla portoricensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxigilla violacea,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxigilla noxis,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Melanospiza richardsoni,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tiaris olivacea,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tiaris bicolor,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Tiaris canora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loxipasser anoxanthus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saltator albicollis,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Torreornis inexpectata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodramus savannarum,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zonotrichia capensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
