RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
011016F118,2, 12/05/2021 11:10:37,Feeder05,,, 12/05/2021 11:10:37,No start time to compare with but end time matches up 
01103F8E56,2, 12/05/2021 12:08:17,Feeder05,,, 12/05/2021 12:08:17,
01103FE7B4,2, 12/06/2021 12:03:22,Feeder05,,, 12/06/2021 12:03:22,
01103FE7B4,1, 12/06/2021 12:03:23,Feeder05,,, 12/06/2021 12:03:23,
01103FE7B4,2, 12/06/2021 12:03:23,Feeder05,,, 12/06/2021 12:03:23,
01103FE7B4,1, 12/06/2021 12:03:23,Feeder05,,, 12/06/2021 12:03:23,
01103FE7B4,2, 12/06/2021 12:03:24,Feeder05,,, 12/06/2021 12:03:24,
01103FE7B4,1, 12/06/2021 12:03:24,Feeder05,,, 12/06/2021 12:03:24,
01103FE7B4,2, 12/06/2021 12:03:24,Feeder05,,, 12/06/2021 12:03:24,
01103FE7B4,1, 12/06/2021 12:03:59,Feeder05,,, 12/06/2021 12:03:59,
01103FE7B4,2, 12/06/2021 12:11:12,Feeder05,,, 12/06/2021 12:11:12,
01103FE7B4,1, 12/06/2021 12:11:12,Feeder05,,, 12/06/2021 12:11:12,
01103FE7B4,2, 12/06/2021 12:11:13,Feeder05,,, 12/06/2021 12:11:13,
01103FE7B4,1, 12/06/2021 12:11:13,Feeder05,,, 12/06/2021 12:11:13,
01103FE7B4,2, 12/06/2021 12:11:13,Feeder05,,, 12/06/2021 12:11:13,
01103FE7B4,1, 12/06/2021 12:11:14,Feeder05,,, 12/06/2021 12:11:14,
01103FE7B4,2, 12/06/2021 12:11:15,Feeder05,,, 12/06/2021 12:11:15,
01103FE7B4,1, 12/06/2021 12:15:09,Feeder05,,, 12/06/2021 12:15:09,
01103FE7B4,2, 12/06/2021 12:15:09,Feeder05,,, 12/06/2021 12:15:09,
01103FE7B4,2, 12/06/2021 12:22:37,Feeder05,,, 12/06/2021 12:22:37,
01103FE7B4,1, 12/06/2021 12:22:37,Feeder05,,, 12/06/2021 12:22:37,
01103FE7B4,2, 12/06/2021 12:22:37,Feeder05,,, 12/06/2021 12:22:37,
01103FE7B4,1, 12/06/2021 12:22:38,Feeder05,,, 12/06/2021 12:22:38,
01103FE7B4,1, 12/06/2021 12:25:05,Feeder05,,, 12/06/2021 12:25:05,
01103FE7B4,2, 12/06/2021 12:25:07,Feeder05,,, 12/06/2021 12:25:07,
01103FE7B4,1, 12/06/2021 12:25:09,Feeder05,,, 12/06/2021 12:25:09,
01103FD963,1, 12/06/2021 13:29:31,Feeder05,,, 12/06/2021 13:29:31,
01103FD963,2, 12/06/2021 13:29:31,Feeder05,,, 12/06/2021 13:29:31,
01103FD963,1, 12/06/2021 13:29:32,Feeder05,,, 12/06/2021 13:29:32,
01103FD963,2, 12/06/2021 13:29:32,Feeder05,,, 12/06/2021 13:29:32,
01103FD963,1, 12/06/2021 13:29:33,Feeder05,,, 12/06/2021 13:29:33,
01103FD963,2, 12/06/2021 13:29:33,Feeder05,,, 12/06/2021 13:29:33,
01103FD963,1, 12/06/2021 13:29:33,Feeder05,,, 12/06/2021 13:29:33,
01103FE7B4,1, 12/06/2021 14:09:42,Feeder05,,, 12/06/2021 14:09:42,
01103FE7B4,1, 12/06/2021 14:09:44,Feeder05,,, 12/06/2021 14:09:44,
01103FE7B4,1, 12/06/2021 14:10:28,Feeder05,,, 12/06/2021 14:10:28,
01103FE7B4,2, 12/06/2021 14:10:28,Feeder05,,, 12/06/2021 14:10:28,
01103FE7B4,2, 12/06/2021 14:12:12,Feeder05,,, 12/06/2021 14:12:12,
01103FE7B4,1, 12/06/2021 14:12:12,Feeder05,,, 12/06/2021 14:12:12,
01103FE7B4,2, 12/06/2021 14:12:12,Feeder05,,, 12/06/2021 14:12:12,
01103FE7B4,1, 12/06/2021 14:12:13,Feeder05,,, 12/06/2021 14:12:13,
01103FD963,2, 12/06/2021 14:33:46,Feeder05,,, 12/06/2021 14:33:46,
01103FD963,1, 12/06/2021 14:33:47,Feeder05,,, 12/06/2021 14:33:47,
01103F651E,1, 12/06/2021 15:16:00,Feeder05,,, 12/06/2021 15:16:00,
