RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
011016F118,1, 12/05/2021 10:54:05,Feeder10,Correct,, 12/05/2021 10:54:05,
01103FD963,1, 12/05/2021 16:06:27,Feeder10,,, 12/05/2021 16:06:27,
01103FD963,1, 12/05/2021 16:06:29,Feeder10,,, 12/05/2021 16:06:29,
01103FD963,1, 12/05/2021 16:56:26,Feeder10,,, 12/05/2021 16:56:26,
01103FD963,1, 12/05/2021 16:56:28,Feeder10,,, 12/05/2021 16:56:28,
01103FD963,1, 12/05/2021 16:56:30,Feeder10,,, 12/05/2021 16:56:30,
01103FD963,1, 12/05/2021 17:01:05,Feeder10,,, 12/05/2021 17:01:05,
01103FD963,1, 12/05/2021 17:01:07,Feeder10,,, 12/05/2021 17:01:07,
01103FD963,1, 12/05/2021 17:01:09,Feeder10,,, 12/05/2021 17:01:09,
01103FD963,1, 12/05/2021 17:01:11,Feeder10,,, 12/05/2021 17:01:11,
01103FD963,1, 12/05/2021 17:01:16,Feeder10,,, 12/05/2021 17:01:16,
01103FD963,1, 12/05/2021 17:01:18,Feeder10,,, 12/05/2021 17:01:18,
01103FD963,1, 12/05/2021 17:01:20,Feeder10,,, 12/05/2021 17:01:20,
01103FD963,1, 12/06/2021 15:08:49,Feeder10,,, 12/06/2021 15:08:49,
0110170A55,1, 12/06/2021 15:08:52,Feeder10,,, 12/06/2021 15:08:52,
0110170A55,1, 12/06/2021 15:08:55,Feeder10,,, 12/06/2021 15:08:55,
011016BDF9,1, 12/06/2021 15:10:46,Feeder10,,, 12/06/2021 15:10:46,
01103FD963,1, 12/06/2021 15:11:13,Feeder10,,, 12/06/2021 15:11:13,
011016BDF9,1, 12/06/2021 15:13:20,Feeder10,,, 12/06/2021 15:13:20,
011016DD50,1, 12/06/2021 15:22:33,Feeder10,,, 12/06/2021 15:22:33,
01103FD963,1, 12/06/2021 15:22:35,Feeder10,,, 12/06/2021 15:22:35,
01103FD963,1, 12/06/2021 15:22:37,Feeder10,,, 12/06/2021 15:22:37,
01103FD963,1, 12/06/2021 15:22:39,Feeder10,,, 12/06/2021 15:22:39,
01103FD963,1, 12/06/2021 15:22:41,Feeder10,,, 12/06/2021 15:22:41,
01103FD963,1, 12/06/2021 15:22:43,Feeder10,,, 12/06/2021 15:22:43,
01103FD963,1, 12/06/2021 15:22:45,Feeder10,,, 12/06/2021 15:22:45,
01103FD963,1, 12/06/2021 15:22:47,Feeder10,,, 12/06/2021 15:22:47,
0110170A55,1, 12/06/2021 15:23:29,Feeder10,,, 12/06/2021 15:23:29,
011016BDF9,1, 12/06/2021 15:27:29,Feeder10,,, 12/06/2021 15:27:29,
011016BDF9,1, 12/06/2021 15:28:16,Feeder10,,, 12/06/2021 15:28:16,
011016DD50,1, 12/06/2021 15:28:23,Feeder10,,, 12/06/2021 15:28:23,
011016BDF9,1, 12/06/2021 15:28:33,Feeder10,,, 12/06/2021 15:28:33,
011016DD50,1, 12/06/2021 15:28:50,Feeder10,,, 12/06/2021 15:28:50,
011016DD50,1, 12/06/2021 15:29:17,Feeder10,,, 12/06/2021 15:29:17,
0110170A55,1, 12/06/2021 15:29:19,Feeder10,,, 12/06/2021 15:29:19,
011016DD50,1, 12/06/2021 15:29:23,Feeder10,,, 12/06/2021 15:29:23,
011016DD50,1, 12/06/2021 15:29:54,Feeder10,,, 12/06/2021 15:29:54,
011016BDF9,1, 12/06/2021 15:29:58,Feeder10,,, 12/06/2021 15:29:58,
011016DD50,1, 12/06/2021 15:30:32,Feeder10,,, 12/06/2021 15:30:32,
0110170A55,1, 12/06/2021 15:30:58,Feeder10,,, 12/06/2021 15:30:58,
0110170A55,1, 12/06/2021 15:31:00,Feeder10,,, 12/06/2021 15:31:00,
0110170A55,1, 12/06/2021 15:31:02,Feeder10,,, 12/06/2021 15:31:02,
0110170A55,1, 12/06/2021 15:31:04,Feeder10,,, 12/06/2021 15:31:04,
0110170A55,1, 12/06/2021 15:31:07,Feeder10,,, 12/06/2021 15:31:07,
0110170A55,1, 12/06/2021 15:31:11,Feeder10,,, 12/06/2021 15:31:11,
0110170A55,1, 12/06/2021 15:31:13,Feeder10,,, 12/06/2021 15:31:13,
011016DD50,1, 12/06/2021 15:31:15,Feeder10,,, 12/06/2021 15:31:15,
011016DD50,1, 12/06/2021 15:31:17,Feeder10,,, 12/06/2021 15:31:17,
011016DD50,1, 12/06/2021 15:31:19,Feeder10,,, 12/06/2021 15:31:19,
01103FD963,1, 12/06/2021 16:09:11,Feeder10,,, 12/06/2021 16:09:11,
01103FD963,1, 12/06/2021 16:09:13,Feeder10,,, 12/06/2021 16:09:13,
01103FD963,1, 12/06/2021 16:11:46,Feeder10,,, 12/06/2021 16:11:46,
01103FD963,1, 12/07/2021 09:20:41,Feeder10,,, 12/07/2021 09:20:41,
01103FD963,1, 12/07/2021 09:20:43,Feeder10,,, 12/07/2021 09:20:43,
01103FD963,1, 12/07/2021 09:20:45,Feeder10,,, 12/07/2021 09:20:45,
01103FD963,1, 12/07/2021 09:20:47,Feeder10,,, 12/07/2021 09:20:47,
01103FD963,1, 12/07/2021 09:20:49,Feeder10,,, 12/07/2021 09:20:49,
01103FD963,1, 12/07/2021 09:20:54,Feeder10,,, 12/07/2021 09:20:54,
01103FD963,1, 12/07/2021 09:20:57,Feeder10,,, 12/07/2021 09:20:57,
01103FD963,1, 12/07/2021 09:20:59,Feeder10,,, 12/07/2021 09:20:59,
01103FD963,1, 12/07/2021 09:21:00,Feeder10,,, 12/07/2021 09:21:00,
01103FD963,1, 12/07/2021 10:00:05,Feeder10,,, 12/07/2021 10:00:05,
0110170A55,1, 12/07/2021 11:05:05,Feeder10,,, 12/07/2021 11:05:05,
0110170A55,1, 12/07/2021 11:05:07,Feeder10,,, 12/07/2021 11:05:07,
0110170A55,1, 12/07/2021 11:05:09,Feeder10,,, 12/07/2021 11:05:09,
0110170A55,1, 12/07/2021 13:36:20,Feeder10,,, 12/07/2021 13:36:20,
0110170A55,1, 12/07/2021 13:39:26,Feeder10,,, 12/07/2021 13:39:26,
0110170A55,1, 12/07/2021 13:39:28,Feeder10,,, 12/07/2021 13:39:28,
0110170A55,1, 12/07/2021 13:39:30,Feeder10,,, 12/07/2021 13:39:30,
0110170A55,1, 12/07/2021 13:39:32,Feeder10,,, 12/07/2021 13:39:32,
0110170A55,1, 12/07/2021 13:39:34,Feeder10,,, 12/07/2021 13:39:34,
0110170A55,1, 12/07/2021 13:39:36,Feeder10,,, 12/07/2021 13:39:36,
0110170A55,1, 12/07/2021 13:39:38,Feeder10,,, 12/07/2021 13:39:38,
0110170A55,1, 12/07/2021 13:41:47,Feeder10,,, 12/07/2021 13:41:47,
