Winner,Loser
23871,23778
23871,58098
23778,23824
23732,58098
23871,23778
23778,23732
23871,23778
23871,58009
23732,58098
58009,58098
23778,23732
23871,58098
23732,58098
23871,23778
23732,58098
23732,58098
23871,23778
23732,23871
23871,23778
23732,58098
23778,23732
23732,58098
23871,23778
23732,58098
58009,58098
23871,23778
23871,23778
23871,23778
58009,58098
23778,23732
23778,23732
23778,23732
58256,58098
58009,58098
23871,23778
23732,58098
23778,23732
23871,23778
23732,58098
23871,58098
23871,23778
58098,23778
23871,23778
58009,58098
58009,58098
58009,58098
23871,58098
23871,23778
23871,58098
23778,23732
23778,58098
23778,23871
23778,23871
