"","BaC","CP","Ctv","LaV","LF","Lig","PL","PtC","PtP","SenBas","Seri","SG","SI","SLG","SN","SnE","SnF","SnI","StR","TS","TsS"
"BaC",0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
"CP",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
"Ctv",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"LaV",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
"LF",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Lig",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
"PL",0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"PtC",1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"PtP",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"SenBas",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Seri",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"SG",0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"SI",0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"SLG",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"SN",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"SnE",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"SnF",0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"SnI",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"StR",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1
"TS",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"TsS",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
