bee,plant,edge
Bombus_pensylvanicus,Claytonia_virginica,1
Bombus_pensylvanicus,Geranium_maculatum,1
Bombus_pensylvanicus,Erigenia_bulbosa,0
Bombus_pensylvanicus,Isopyrum_biternatum,1
Bombus_pensylvanicus,Dentaria_laciniata,1
Bombus_pensylvanicus,Polemonium_reptans,1
Bombus_pensylvanicus,Oxalis_violacea,1
Bombus_pensylvanicus,Hydrophyllum_appendiculatum,1
Bombus_pensylvanicus,Ranunculus_hispidus_var_nitidus,0
Bombus_pensylvanicus,Monarda_bradburiana,1
Bombus_pensylvanicus,Camassia_scilloides,1
Bombus_pensylvanicus,Erythronium_albidum,0
Bombus_pensylvanicus,Sanicula_odorata,0
Bombus_pensylvanicus,Maianthemum_stellatum,0
Bombus_pensylvanicus,Tradescantia_virginiana,1
Bombus_pensylvanicus,Viola_sororia,1
Bombus_pensylvanicus,Anemonella_thalictroides,0
Bombus_pensylvanicus,Hydrophyllum_virginianum,1
Bombus_pensylvanicus,Mertensia_virginica,1
Bombus_pensylvanicus,Viola_pubescens,1
Bombus_pensylvanicus,Dicentra_cucullaria,1
Bombus_pensylvanicus,Maianthemum_racemosum,0
Bombus_pensylvanicus,Uvularia_grandiflora,1
Bombus_pensylvanicus,Delphinium_tricorne,1
Bombus_pensylvanicus,Phlox_divaricata,1
Bombus_pensylvanicus,Podophyllum_peltatum,1
Bombus_griseocollis,Claytonia_virginica,0
Bombus_griseocollis,Geranium_maculatum,1
Bombus_griseocollis,Erigenia_bulbosa,0
Bombus_griseocollis,Isopyrum_biternatum,0
Bombus_griseocollis,Dentaria_laciniata,1
Bombus_griseocollis,Polemonium_reptans,1
Bombus_griseocollis,Oxalis_violacea,0
Bombus_griseocollis,Hydrophyllum_appendiculatum,1
Bombus_griseocollis,Ranunculus_hispidus_var_nitidus,0
Bombus_griseocollis,Monarda_bradburiana,1
Bombus_griseocollis,Camassia_scilloides,1
Bombus_griseocollis,Erythronium_albidum,0
Bombus_griseocollis,Sanicula_odorata,0
Bombus_griseocollis,Maianthemum_stellatum,0
Bombus_griseocollis,Tradescantia_virginiana,1
Bombus_griseocollis,Viola_sororia,1
Bombus_griseocollis,Anemonella_thalictroides,0
Bombus_griseocollis,Hydrophyllum_virginianum,1
Bombus_griseocollis,Mertensia_virginica,1
Bombus_griseocollis,Viola_pubescens,1
Bombus_griseocollis,Dicentra_cucullaria,1
Bombus_griseocollis,Maianthemum_racemosum,0
Bombus_griseocollis,Uvularia_grandiflora,1
Bombus_griseocollis,Delphinium_tricorne,1
Bombus_griseocollis,Phlox_divaricata,1
Bombus_griseocollis,Podophyllum_peltatum,1
Bombus_impatiens,Claytonia_virginica,1
Bombus_impatiens,Geranium_maculatum,1
Bombus_impatiens,Erigenia_bulbosa,0
Bombus_impatiens,Isopyrum_biternatum,0
Bombus_impatiens,Dentaria_laciniata,1
Bombus_impatiens,Polemonium_reptans,1
Bombus_impatiens,Oxalis_violacea,0
Bombus_impatiens,Hydrophyllum_appendiculatum,1
Bombus_impatiens,Ranunculus_hispidus_var_nitidus,0
Bombus_impatiens,Monarda_bradburiana,1
Bombus_impatiens,Camassia_scilloides,1
Bombus_impatiens,Erythronium_albidum,1
Bombus_impatiens,Sanicula_odorata,0
Bombus_impatiens,Maianthemum_stellatum,0
Bombus_impatiens,Tradescantia_virginiana,1
Bombus_impatiens,Viola_sororia,1
Bombus_impatiens,Anemonella_thalictroides,0
Bombus_impatiens,Hydrophyllum_virginianum,1
Bombus_impatiens,Mertensia_virginica,0
Bombus_impatiens,Viola_pubescens,0
Bombus_impatiens,Dicentra_cucullaria,1
Bombus_impatiens,Maianthemum_racemosum,0
Bombus_impatiens,Uvularia_grandiflora,1
Bombus_impatiens,Delphinium_tricorne,1
Bombus_impatiens,Phlox_divaricata,1
Bombus_impatiens,Podophyllum_peltatum,1
Apis_mellifera,Claytonia_virginica,1
Apis_mellifera,Geranium_maculatum,1
Apis_mellifera,Erigenia_bulbosa,1
Apis_mellifera,Isopyrum_biternatum,1
Apis_mellifera,Dentaria_laciniata,1
Apis_mellifera,Polemonium_reptans,1
Apis_mellifera,Oxalis_violacea,1
Apis_mellifera,Hydrophyllum_appendiculatum,0
Apis_mellifera,Ranunculus_hispidus_var_nitidus,1
Apis_mellifera,Monarda_bradburiana,1
Apis_mellifera,Camassia_scilloides,1
Apis_mellifera,Erythronium_albidum,0
Apis_mellifera,Sanicula_odorata,0
Apis_mellifera,Maianthemum_stellatum,1
Apis_mellifera,Tradescantia_virginiana,1
Apis_mellifera,Viola_sororia,1
Apis_mellifera,Anemonella_thalictroides,1
Apis_mellifera,Hydrophyllum_virginianum,0
Apis_mellifera,Mertensia_virginica,1
Apis_mellifera,Viola_pubescens,0
Apis_mellifera,Dicentra_cucullaria,1
Apis_mellifera,Maianthemum_racemosum,1
Apis_mellifera,Uvularia_grandiflora,0
Apis_mellifera,Delphinium_tricorne,0
Apis_mellifera,Phlox_divaricata,0
Apis_mellifera,Podophyllum_peltatum,1
Eucera_hamata,Claytonia_virginica,1
Eucera_hamata,Geranium_maculatum,1
Eucera_hamata,Erigenia_bulbosa,0
Eucera_hamata,Isopyrum_biternatum,0
Eucera_hamata,Dentaria_laciniata,0
Eucera_hamata,Polemonium_reptans,1
Eucera_hamata,Oxalis_violacea,1
Eucera_hamata,Hydrophyllum_appendiculatum,1
Eucera_hamata,Ranunculus_hispidus_var_nitidus,0
Eucera_hamata,Monarda_bradburiana,1
Eucera_hamata,Camassia_scilloides,1
Eucera_hamata,Erythronium_albidum,0
Eucera_hamata,Sanicula_odorata,0
Eucera_hamata,Maianthemum_stellatum,0
Eucera_hamata,Tradescantia_virginiana,1
Eucera_hamata,Viola_sororia,1
Eucera_hamata,Anemonella_thalictroides,0
Eucera_hamata,Hydrophyllum_virginianum,1
Eucera_hamata,Mertensia_virginica,1
Eucera_hamata,Viola_pubescens,0
Eucera_hamata,Dicentra_cucullaria,0
Eucera_hamata,Maianthemum_racemosum,0
Eucera_hamata,Uvularia_grandiflora,0
Eucera_hamata,Delphinium_tricorne,1
Eucera_hamata,Phlox_divaricata,1
Eucera_hamata,Podophyllum_peltatum,1
Ceratina_calcarata_dupla,Claytonia_virginica,1
Ceratina_calcarata_dupla,Geranium_maculatum,1
Ceratina_calcarata_dupla,Erigenia_bulbosa,1
Ceratina_calcarata_dupla,Isopyrum_biternatum,1
Ceratina_calcarata_dupla,Dentaria_laciniata,1
Ceratina_calcarata_dupla,Polemonium_reptans,1
Ceratina_calcarata_dupla,Oxalis_violacea,1
Ceratina_calcarata_dupla,Hydrophyllum_appendiculatum,1
Ceratina_calcarata_dupla,Ranunculus_hispidus_var_nitidus,1
Ceratina_calcarata_dupla,Monarda_bradburiana,1
Ceratina_calcarata_dupla,Camassia_scilloides,1
Ceratina_calcarata_dupla,Erythronium_albidum,1
Ceratina_calcarata_dupla,Sanicula_odorata,0
Ceratina_calcarata_dupla,Maianthemum_stellatum,1
Ceratina_calcarata_dupla,Tradescantia_virginiana,1
Ceratina_calcarata_dupla,Viola_sororia,1
Ceratina_calcarata_dupla,Anemonella_thalictroides,1
Ceratina_calcarata_dupla,Hydrophyllum_virginianum,0
Ceratina_calcarata_dupla,Mertensia_virginica,0
Ceratina_calcarata_dupla,Viola_pubescens,1
Ceratina_calcarata_dupla,Dicentra_cucullaria,0
Ceratina_calcarata_dupla,Maianthemum_racemosum,0
Ceratina_calcarata_dupla,Uvularia_grandiflora,0
Ceratina_calcarata_dupla,Delphinium_tricorne,1
Ceratina_calcarata_dupla,Phlox_divaricata,0
Ceratina_calcarata_dupla,Podophyllum_peltatum,0
Augochlorella_aurata,Claytonia_virginica,1
Augochlorella_aurata,Geranium_maculatum,0
Augochlorella_aurata,Erigenia_bulbosa,1
Augochlorella_aurata,Isopyrum_biternatum,1
Augochlorella_aurata,Dentaria_laciniata,0
Augochlorella_aurata,Polemonium_reptans,1
Augochlorella_aurata,Oxalis_violacea,1
Augochlorella_aurata,Hydrophyllum_appendiculatum,1
Augochlorella_aurata,Ranunculus_hispidus_var_nitidus,1
Augochlorella_aurata,Monarda_bradburiana,1
Augochlorella_aurata,Camassia_scilloides,1
Augochlorella_aurata,Erythronium_albidum,0
Augochlorella_aurata,Sanicula_odorata,1
Augochlorella_aurata,Maianthemum_stellatum,1
Augochlorella_aurata,Tradescantia_virginiana,0
Augochlorella_aurata,Viola_sororia,0
Augochlorella_aurata,Anemonella_thalictroides,1
Augochlorella_aurata,Hydrophyllum_virginianum,1
Augochlorella_aurata,Mertensia_virginica,1
Augochlorella_aurata,Viola_pubescens,1
Augochlorella_aurata,Dicentra_cucullaria,0
Augochlorella_aurata,Maianthemum_racemosum,0
Augochlorella_aurata,Uvularia_grandiflora,0
Augochlorella_aurata,Delphinium_tricorne,0
Augochlorella_aurata,Phlox_divaricata,0
Augochlorella_aurata,Podophyllum_peltatum,0
Eucera_dubitata,Claytonia_virginica,1
Eucera_dubitata,Geranium_maculatum,1
Eucera_dubitata,Erigenia_bulbosa,0
Eucera_dubitata,Isopyrum_biternatum,1
Eucera_dubitata,Dentaria_laciniata,1
Eucera_dubitata,Polemonium_reptans,1
Eucera_dubitata,Oxalis_violacea,0
Eucera_dubitata,Hydrophyllum_appendiculatum,1
Eucera_dubitata,Ranunculus_hispidus_var_nitidus,1
Eucera_dubitata,Monarda_bradburiana,0
Eucera_dubitata,Camassia_scilloides,1
Eucera_dubitata,Erythronium_albidum,1
Eucera_dubitata,Sanicula_odorata,0
Eucera_dubitata,Maianthemum_stellatum,0
Eucera_dubitata,Tradescantia_virginiana,0
Eucera_dubitata,Viola_sororia,1
Eucera_dubitata,Anemonella_thalictroides,0
Eucera_dubitata,Hydrophyllum_virginianum,1
Eucera_dubitata,Mertensia_virginica,1
Eucera_dubitata,Viola_pubescens,1
Eucera_dubitata,Dicentra_cucullaria,1
Eucera_dubitata,Maianthemum_racemosum,0
Eucera_dubitata,Uvularia_grandiflora,0
Eucera_dubitata,Delphinium_tricorne,0
Eucera_dubitata,Phlox_divaricata,0
Eucera_dubitata,Podophyllum_peltatum,0
Andrena_carlini,Claytonia_virginica,1
Andrena_carlini,Geranium_maculatum,0
Andrena_carlini,Erigenia_bulbosa,1
Andrena_carlini,Isopyrum_biternatum,1
Andrena_carlini,Dentaria_laciniata,1
Andrena_carlini,Polemonium_reptans,1
Andrena_carlini,Oxalis_violacea,0
Andrena_carlini,Hydrophyllum_appendiculatum,1
Andrena_carlini,Ranunculus_hispidus_var_nitidus,0
Andrena_carlini,Monarda_bradburiana,0
Andrena_carlini,Camassia_scilloides,0
Andrena_carlini,Erythronium_albidum,1
Andrena_carlini,Sanicula_odorata,0
Andrena_carlini,Maianthemum_stellatum,1
Andrena_carlini,Tradescantia_virginiana,0
Andrena_carlini,Viola_sororia,1
Andrena_carlini,Anemonella_thalictroides,1
Andrena_carlini,Hydrophyllum_virginianum,0
Andrena_carlini,Mertensia_virginica,0
Andrena_carlini,Viola_pubescens,1
Andrena_carlini,Dicentra_cucullaria,1
Andrena_carlini,Maianthemum_racemosum,0
Andrena_carlini,Uvularia_grandiflora,1
Andrena_carlini,Delphinium_tricorne,0
Andrena_carlini,Phlox_divaricata,0
Andrena_carlini,Podophyllum_peltatum,0
Bombus_vagans,Claytonia_virginica,1
Bombus_vagans,Geranium_maculatum,1
Bombus_vagans,Erigenia_bulbosa,1
Bombus_vagans,Isopyrum_biternatum,0
Bombus_vagans,Dentaria_laciniata,0
Bombus_vagans,Polemonium_reptans,1
Bombus_vagans,Oxalis_violacea,0
Bombus_vagans,Hydrophyllum_appendiculatum,1
Bombus_vagans,Ranunculus_hispidus_var_nitidus,0
Bombus_vagans,Monarda_bradburiana,0
Bombus_vagans,Camassia_scilloides,0
Bombus_vagans,Erythronium_albidum,0
Bombus_vagans,Sanicula_odorata,0
Bombus_vagans,Maianthemum_stellatum,0
Bombus_vagans,Tradescantia_virginiana,1
Bombus_vagans,Viola_sororia,0
Bombus_vagans,Anemonella_thalictroides,0
Bombus_vagans,Hydrophyllum_virginianum,1
Bombus_vagans,Mertensia_virginica,1
Bombus_vagans,Viola_pubescens,0
